"Table 1: Number of suicides [note 1] by local authority, England and Wales, deaths registered 2001 to 2022",,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table.,,,,,,,,,,,,,,,,,,,,,,,,,
Some cells refer to notes which can be found on the 'Notes' worksheet.,,,,,,,,,,,,,,,,,,,,,,,,,
The table contains some blank cells due to the layout of the geographical areas.,,,,,,,,,,,,,,,,,,,,,,,,,
"Area Code 
[note 2]","Country or Region 
[note 2]","County or Unitary Authority 
[note 2]","Local Authority District 
[note 2]",2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
K04000001,England and Wales,,,"5,642","5,583","5,224","5,691","5,420","4,840","4,941","5,199","5,158","5,145","4,887","4,880","4,519","4,677","4,595","4,313","4,507","4,705","4,874","4,798","4,758","4,896"
E92000001,England,,,"5,284","5,219","4,912","5,316","5,021","4,451","4,575","4,820","4,882","4,727","4,513","4,518","4,202","4,392","4,288","3,999","4,178","4,410","4,513","4,430","4,436","4,557"
E12000001,North East,,,299,328,306,266,287,248,244,247,305,295,246,273,235,237,232,217,228,242,295,272,239,248
E06000047,,County Durham,,68,90,67,60,69,56,51,59,64,92,46,66,60,55,58,40,36,50,44,53,46,43
E06000005,,Darlington,,11,24,10,13,12,13,11,14,11,14,7,10,10,15,10,6,9,14,10,12,6,17
E06000001,,Hartlepool,,9,13,13,10,8,8,13,7,5,7,12,12,7,9,1,7,4,7,7,11,14,8
E06000002,,Middlesbrough,,24,13,25,16,15,18,21,14,28,17,16,17,10,10,15,19,11,14,27,32,18,17
E06000057,,Northumberland,,31,39,22,34,37,30,24,28,38,39,34,33,26,31,21,34,39,32,55,29,30,25
E06000003,,Redcar and Cleveland,,17,21,25,23,12,12,12,10,19,8,11,14,11,18,10,19,12,19,10,20,15,13
E06000004,,Stockton-on-Tees,,25,16,22,14,21,10,17,20,32,16,16,19,14,16,17,14,19,15,27,20,15,15
E11000007,,Tyne and Wear (Met County),,114,112,122,96,113,101,95,95,108,102,104,102,97,83,100,78,98,91,115,95,95,110
E08000037,,,Gateshead,18,16,23,12,12,13,21,17,14,15,12,11,10,14,11,14,15,17,12,14,13,16
E08000021,,,Newcastle upon Tyne,30,32,30,23,35,21,22,21,34,29,25,27,16,19,18,17,30,15,37,37,36,31
E08000022,,,North Tyneside,23,25,13,21,26,23,21,25,23,14,28,26,23,26,33,19,17,23,23,22,14,22
E08000023,,,South Tyneside,14,11,11,10,11,12,10,8,12,20,7,9,12,7,10,7,8,7,10,7,7,14
E08000024,,,Sunderland,29,28,45,30,29,32,21,24,25,24,32,29,36,17,28,21,28,29,33,15,25,27
